DisplayIndex=0
Millinits,Brightness
3021,0
3168,0
3314,1
3461,1
3607,1
3754,1
3900,2
4047,2
4193,2
4340,2
4486,3
4633,3
4779,3
4926,3
5072,4
5219,4
5659,5
6246,6
6833,7
7420,8
8007,9
8741,10
9329,11
10064,12
10799,13
11535,15
12306,16
13033,17
13760,18
14669,19
15579,20
16488,22
17216,23
18308,24
19218,25
20128,27
21221,28
22131,29
23224,31
24317,32
25229,34
26505,35
27599,37
28693,38
29787,40
31065,42
32160,43
33438,45
34716,47
36000,48
37385,49
38772,51
39881,52
41269,53
42657,54
44046,55
45436,57
47106,58
48498,59
49891,61
51284,62
52958,63
54353,65
56029,66
57706,68
59104,69
60783,70
62464,72
64145,73
65828,75
67512,76
69197,78
70884,79
72755,81
74502,82
76249,83
77997,84
80184,85
81934,86
83685,87
85437,88
87628,89
89381,90
91575,91
93331,92
95527,93
97284,94
99483,96
101242,97
103443,98
105645,99
107408,100
109613,101
111819,103
114026,104
116235,105
118445,106
120657,108
122869,109
125084,110
127299,111
129665,113
131738,114
134333,115
136410,116
139010,117
141091,118
143696,119
146304,121
148392,122
151005,123
153621,124
155715,125
158336,126
160960,128
163587,129
165691,130
168323,131
170958,132
173596,134
176237,135
178881,136
181527,137
184177,139
186830,140
189485,141
192143,142
195337,144
198002,145
200616,146
203391,147
206168,148
208946,149
211725,150
214505,151
217983,152
220766,153
223551,154
226337,155
229125,156
232611,158
235401,159
238193,160
240986,161
244479,162
247275,163
250772,164
253571,165
256371,166
259873,167
262677,168
266182,170
268989,170
272498,172
275307,173
278821,174
282032,175
285248,176
288468,177
291691,178
294918,179
298149,180
302194,181
305433,182
308677,183
311925,184
315176,185
318431,186
322506,187
325770,188
329038,189
332310,190
336405,192
339685,193
342969,194
346258,195
350373,196
353670,197
356971,198
361102,199
364412,200
368554,201
371872,202
375194,203
378905,204
382615,205
386327,206
390038,206
393750,207
398700,208
402413,209
406126,210
409840,210
413554,211
417268,212
420983,213
424698,213
428414,214
432130,215
437085,216
440802,217
444519,217
448237,218
451955,219
456913,220
460632,221
464351,221
468071,222
473031,223
476752,224
480473,225
485435,226
489157,226
492879,227
497843,228
501566,229
505290,230
510255,231
513980,231
518947,232
522672,233
526398,234
531816,235
535429,235
540851,236
544466,236
548083,237
553510,238
557129,238
562559,239
566180,239
571614,240
575238,241
578863,241
584302,242
587930,242
593373,243
597002,244
602449,244
606081,245
611531,246
615166,246
620619,247
626075,248
629714,248
635174,249
638814,249
644278,250
647921,251
653388,251
657034,252
662504,253
667977,253
671627,254
677103,255
680756,255
