DisplayIndex=1
Millinits,DBV
3011,1
3157,2
3304,3
3450,4
3597,5
3744,6
3890,7
4037,8
4184,9
4331,10
4478,11
4625,12
4773,13
4920,14
5067,15
5215,16
5657,19
6248,23
6840,27
7434,31
8028,35
8623,39
9219,43
9966,48
10715,53
11465,58
12217,63
12949,67
13864,72
14597,76
15512,81
16245,85
17160,90
18076,95
18992,100
20091,106
21007,111
22107,117
23023,122
24122,128
25222,134
26322,140
27422,146
28522,152
29623,158
30906,165
32007,171
33291,178
34576,185
35954,192
37062,196
38449,201
39835,206
41222,211
42609,216
43996,221
45383,226
46771,231
48159,236
49547,241
51213,247
52602,252
54269,258
55658,263
57326,269
58994,275
60384,280
62052,286
63721,292
65390,298
67060,304
68730,310
70679,317
72387,322
74133,326
75880,330
77628,334
79376,338
81563,343
83313,347
85064,351
87254,356
89007,360
90761,364
92954,369
94710,373
96905,378
98662,382
100860,387
103059,392
104819,396
107020,401
109223,406
111426,411
113631,416
115396,420
117603,425
119812,430
122021,435
124232,440
126444,445
129176,451
131252,455
133330,459
135931,464
138013,468
140619,473
142706,477
145317,482
147931,487
150025,491
152644,496
155267,501
157368,505
159996,510
162627,515
165261,520
167899,525
170011,529
172654,534
175300,539
177949,544
180601,549
183256,554
185914,559
188575,564
191240,569
193907,574
197112,580
199412,584
202200,588
204989,592
207780,596
210572,600
214065,605
216861,609
219658,613
222458,617
225258,621
228061,625
230865,629
234372,634
237179,638
239988,642
242799,646
246315,651
249129,655
251945,659
255467,664
258287,668
261813,673
264637,677
268168,682
270994,686
274530,691
277360,695
280277,699
284246,704
287425,708
290606,712
293790,716
296977,720
300167,724
303360,728
307355,733
310554,737
313757,741
316962,745
320170,749
324184,754
327399,758
330616,762
334642,767
337866,771
341093,775
345131,780
348365,784
351601,788
355651,793
358894,797
362951,802
366201,806
370267,811
373523,815
378045,819
381754,822
385463,825
389173,828
392883,831
396593,834
400304,837
404016,840
407728,843
411441,846
415154,849
418868,852
422582,855
426297,858
430012,861
434966,865
438683,868
442400,871
446117,874
449835,877
454793,881
458512,884
462232,887
465952,890
470913,894
474634,897
478356,900
482078,903
487042,907
490766,910
494490,913
499456,917
503181,920
506907,923
511876,927
515602,930
520573,934
524301,937
529107,940
532671,942
538017,945
541582,947
546930,950
550496,952
554062,954
559412,957
562979,959
568331,962
571899,964
577252,967
580821,969
586176,972
589746,974
595102,977
598673,979
604031,982
607603,984
612963,987
618323,990
621897,992
627258,995
630833,997
636196,1000
639772,1002
645137,1005
650502,1008
654080,1010
659447,1013
664815,1016
668394,1018
673764,1021
677344,1023
